session_id,agent_name,trial_id,condition_id,scenario_id,map_id,policy_id,method,mode,difficulty_level,random_seed,start_time_iso,end_time_iso,success,end_reason,duration_sec,planning_time_sec,travel_distance_m,shortest_path_m,path_efficiency,collision_count,obstacle_collision_count,stuck_count,replan_count,replan_time_sec,raw_waypoints,sent_waypoints,sent_path_length_m,final_target_error_m,reached_by_error,cumulative_reward,steps,start_x,start_z,start_yaw,target_x,target_z,end_x,end_z,end_yaw
"20260707_114933","go1",0,"C1_NAVMESH_ONLY","S01","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:49:36.2295262+09:00","2026-07-07T11:49:47.8255262+09:00",1,"goal_reached",11.596470,0.018072,4.587102,4.784999,0.999878,0,0,0,0,0.000000,3,1,4.784999,0.198456,1,0.000000,0,1.766339,2.377976,338.294300,0.953725,6.832739,1.122145,6.727766,319.769000
"20260707_114933","go1",1,"C1_NAVMESH_ONLY","S02","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:49:49.0409313+09:00","2026-07-07T11:50:08.2229313+09:00",1,"goal_reached",19.181770,0.032725,7.604730,7.787729,0.998135,0,0,0,0,0.000000,4,1,7.787729,0.197184,1,0.000000,0,1.633930,3.948348,166.367400,4.742176,5.195923,4.683338,5.384124,162.441700
"20260707_114933","go1",2,"C1_NAVMESH_ONLY","S03","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:50:11.7419868+09:00","2026-07-07T11:50:23.5429868+09:00",1,"goal_reached",11.801490,0.018196,4.563494,4.755380,0.999334,0,0,0,0,0.000000,3,1,4.755380,0.194928,1,0.000000,0,1.324499,4.137201,354.440500,2.632069,8.343449,2.585758,8.154102,15.160360
"20260707_114933","go1",3,"C1_NAVMESH_ONLY","S04","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:50:24.7606913+09:00","2026-07-07T11:50:33.7556913+09:00",1,"goal_reached",8.995384,0.017124,3.548023,3.742974,0.999908,0,0,0,2,5.361412,2,1,3.742974,0.195279,1,0.000000,0,4.609061,1.694436,182.513600,4.523440,5.285737,4.595209,5.104124,339.140800
"20260707_114933","go1",4,"C1_NAVMESH_ONLY","S05","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:50:34.9755625+09:00","2026-07-07T11:50:44.5595625+09:00",1,"goal_reached",9.584160,0.016953,3.774781,3.973467,1.000000,0,0,0,0,0.000000,3,1,3.973467,0.198513,1,0.000000,0,1.709022,3.456327,10.586720,0.712719,6.911597,0.893337,6.829228,309.546600
"20260707_114933","go1",5,"C1_NAVMESH_ONLY","S06","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:50:46.3706826+09:00","2026-07-07T11:50:57.1606826+09:00",1,"goal_reached",10.789830,0.018875,4.268240,4.464136,0.999954,0,0,0,0,0.000000,2,1,4.464136,0.196094,1,0.000000,0,2.312618,2.611408,198.659800,1.199818,6.772777,1.320424,6.618157,323.073200
"20260707_114933","go1",6,"C1_NAVMESH_ONLY","S07","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:50:58.9555354+09:00","2026-07-07T11:51:30.8775354+09:00",1,"goal_reached",31.921550,0.035065,9.651245,11.500450,1.000000,0,0,1,1,13.284160,6,0,11.500450,0.000000,1,0.000000,0,6.052470,1.538625,26.732940,2.249527,3.538417,2.249527,3.538417,344.544100
"20260707_114933","go1",7,"C1_NAVMESH_ONLY","S08","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:51:32.6624773+09:00","2026-07-07T11:52:00.9894773+09:00",1,"goal_reached",28.326560,0.037453,10.168360,11.435230,1.000000,0,0,0,0,0.000000,6,1,11.435230,0.199924,1,0.000000,0,1.720038,2.596169,214.806100,6.449614,3.361461,6.271019,3.451313,108.227900
"20260707_114933","go1",8,"C1_NAVMESH_ONLY","S18","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:52:31.8212492+09:00","2026-07-07T11:52:45.0492492+09:00",1,"goal_reached",13.228350,0.021286,5.232202,5.424012,0.998519,0,0,0,0,0.000000,3,1,5.424012,0.199558,1,0.000000,0,1.783518,4.000104,42.879170,4.054360,7.286582,3.890733,7.400816,118.406700
"20260707_114933","go1",9,"C1_NAVMESH_ONLY","S19","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:52:46.2107383+09:00","2026-07-07T11:52:58.1907383+09:00",1,"goal_reached",11.980190,0.010269,4.711176,4.909355,0.999970,0,0,0,0,0.000000,3,1,4.909355,0.198321,1,0.000000,0,1.425424,2.415050,230.952300,0.724210,6.932548,0.900420,6.841546,313.279700
"20260707_114933","go1",10,"C1_NAVMESH_ONLY","S20","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:53:01.5990823+09:00","2026-07-07T11:53:12.8300823+09:00",1,"goal_reached",11.231030,0.009521,4.440571,4.636597,0.999296,0,0,0,0,0.000000,4,1,4.636597,0.199152,1,0.000000,0,2.273379,4.391210,59.025390,3.644643,8.153973,3.495260,8.022267,48.578480
"20260707_114933","go1",11,"C1_NAVMESH_ONLY","S21","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:53:14.5699860+09:00","2026-07-07T11:53:32.4219923+09:00",1,"goal_reached",17.850810,0.019058,7.078474,7.263125,0.998409,0,0,0,0,0.000000,5,1,7.263125,0.195913,1,0.000000,0,1.957917,4.059141,247.098500,4.681383,5.331876,4.624039,5.519209,162.845100
"20260707_114933","go1",12,"C1_NAVMESH_ONLY","S22","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:53:34.7204956+09:00","2026-07-07T11:54:08.4244956+09:00",1,"goal_reached",33.704150,0.018585,13.420270,13.609180,0.999256,0,0,0,0,0.000000,5,1,13.609180,0.198889,1,0.000000,0,1.423356,1.948172,75.171620,5.108592,0.845794,5.102025,1.044574,178.107600
"20260707_114933","go1",13,"C1_NAVMESH_ONLY","S23","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:54:09.6045175+09:00","2026-07-07T11:54:30.5795175+09:00",1,"goal_reached",20.975280,0.008820,8.229529,8.428720,1.000000,0,0,0,0,0.000000,5,1,8.428720,0.198682,1,0.000000,0,5.038062,2.890641,263.244700,1.310279,5.748411,1.440979,5.898051,221.312500
"20260707_114933","go1",14,"C1_NAVMESH_ONLY","S24","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:54:31.7413589+09:00","2026-07-07T11:54:40.9173589+09:00",1,"goal_reached",9.176361,0.009857,3.622352,3.817772,0.999833,0,0,0,3,6.947784,2,1,3.817772,0.196024,1,0.000000,0,1.384719,4.933732,91.317850,2.111588,1.411166,1.964052,1.540233,136.472400
"20260707_114933","go1",15,"C1_NAVMESH_ONLY","S25","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:54:42.0915621+09:00","2026-07-07T11:54:50.5605621+09:00",1,"goal_reached",8.468842,0.010315,3.340485,3.539564,1.000000,0,0,0,0,0.000000,2,1,3.539564,0.198932,1,0.000000,0,1.709368,2.669003,279.391000,2.288167,5.971076,2.180019,5.804110,32.017790
"20260707_114933","go1",16,"C1_NAVMESH_ONLY","S26","fullmap","NavMeshOnly","Unity_C1_NavMeshOnly_Evaluation","evaluation",0,121,"2026-07-07T11:54:51.7345994+09:00","2026-07-07T11:55:00.0285994+09:00",1,"goal_reached",8.294495,0.010040,3.269950,3.465642,1.000000,0,0,0,0,0.000000,2,1,3.465642,0.195656,1,0.000000,0,1.632070,3.601022,107.464100,1.232966,6.857999,1.326384,6.686086,332.224600
