session_id,agent_name,trial_id,condition_id,scenario_id,time_sec,obstacle_name,center_x,center_z,size_x,size_z,distance_to_path_m,block_threshold_m,closest_segment,path_blocked,replan_requested,replan_skip_reason,replan_count
"20260707_115743","go1",0,"C1_NAVMESH_ONLY","S01",0.718171,"EXP_C3_REPLAN_S01_A1",1.705655,2.275666,0.577417,0.577417,0.000000,0.538708,-1,1,1,"",0
"20260707_115743","go1",1,"C1_NAVMESH_ONLY","S02",1.202484,"EXP_C3_REPLAN_S02_A2",3.100071,7.220000,0.480000,0.480001,0.000000,0.490000,-1,1,1,"",0
"20260707_115743","go1",2,"C1_NAVMESH_ONLY","S03",2.369999,"EXP_C3_REPLAN_S03_A7",2.383207,6.247360,0.562151,0.562151,0.000000,0.531076,-1,1,1,"",0
"20260707_115743","go1",3,"C1_NAVMESH_ONLY","S04",1.197792,"EXP_C3_REPLAN_S04_A2",4.281014,6.473352,0.579580,0.579580,0.000000,0.539790,-1,1,1,"",0
"20260707_115743","go1",4,"C1_NAVMESH_ONLY","S05",0.669098,"EXP_C3_REPLAN_S05_A1",2.363749,6.094005,0.568337,0.568337,0.000000,0.534168,-1,1,1,"",0
"20260707_115743","go1",5,"C1_NAVMESH_ONLY","S06",1.825943,"EXP_C3_REPLAN_S06_A3",2.391775,6.264458,0.571194,0.571194,0.000000,0.535597,-1,1,1,"",0
"20260707_115743","go1",6,"C1_NAVMESH_ONLY","S07",0.663628,"EXP_C3_REPLAN_S07_A1",2.291564,5.696479,0.531415,0.531415,0.000000,0.515708,-1,1,1,"",0
"20260707_115743","go1",7,"C1_NAVMESH_ONLY","S08",2.934631,"EXP_C3_REPLAN_S08_A5",2.054176,6.154141,0.591871,0.591871,0.000000,0.545936,-1,1,1,"",0
"20260707_115743","go1",8,"C1_NAVMESH_ONLY","S09",0.650360,"EXP_C3_REPLAN_S09_A4",1.596312,3.377331,0.524525,0.524525,0.000000,0.512263,-1,1,1,"",0
"20260707_115743","go1",9,"C1_NAVMESH_ONLY","S10",0.648056,"EXP_C3_REPLAN_S10_A1",3.063306,7.265601,0.524709,0.524709,0.000000,0.512354,-1,1,1,"",0
"20260707_115743","go1",10,"C1_NAVMESH_ONLY","S11",1.800140,"EXP_C3_REPLAN_S11_A3",2.187428,5.950541,0.604857,0.604857,0.000000,0.552429,-1,1,1,"",0
"20260707_115743","go1",11,"C1_NAVMESH_ONLY","S12",1.801178,"EXP_C3_REPLAN_S12_A3",3.119881,7.271170,0.524709,0.524709,0.000000,0.512354,-1,1,1,"",0
"20260707_115743","go1",12,"C1_NAVMESH_ONLY","S13",0.648529,"EXP_C3_REPLAN_S13_A1",2.758084,7.220000,0.480000,0.480001,0.000000,0.490000,-1,1,1,"",0
"20260707_115743","go1",13,"C1_NAVMESH_ONLY","S14",0.662170,"EXP_C3_REPLAN_S14_A1",3.380026,7.220000,0.480000,0.480001,0.000000,0.490000,-1,1,1,"",0
"20260707_115743","go1",14,"C1_NAVMESH_ONLY","S15",0.654999,"EXP_C3_REPLAN_S15_A1",2.082936,4.753968,0.565511,0.565511,0.000000,0.532755,-1,1,1,"",0
"20260707_115743","go1",15,"C1_NAVMESH_ONLY","S16",0.650787,"EXP_C3_REPLAN_S16_A1",4.393325,6.225031,0.596142,0.596142,0.000000,0.548071,-1,1,1,"",0
"20260707_115743","go1",16,"C1_NAVMESH_ONLY","S17",0.633667,"EXP_C3_REPLAN_S17_A1",2.364411,6.097162,0.568337,0.568337,0.000000,0.534168,-1,1,1,"",0
"20260707_115743","go1",17,"C1_NAVMESH_ONLY","S18",0.648895,"EXP_C3_REPLAN_S18_A1",2.337702,6.202836,0.577478,0.577478,0.000000,0.538739,-1,1,1,"",0
"20260707_115743","go1",18,"C1_NAVMESH_ONLY","S19",1.781433,"EXP_C3_REPLAN_S19_A3",2.320353,6.034470,0.577379,0.577378,0.000000,0.538689,-1,1,1,"",0
"20260707_115743","go1",19,"C1_NAVMESH_ONLY","S20",0.650147,"EXP_C3_REPLAN_S20_A1",4.949824,5.180430,0.527695,0.527695,0.000000,0.513847,-1,1,1,"",0
"20260707_115743","go1",20,"C1_NAVMESH_ONLY","S21",0.650513,"EXP_C3_REPLAN_S21_A1",2.347202,6.305995,0.590587,0.590587,0.000000,0.545293,-1,1,1,"",0
"20260707_115743","go1",21,"C1_NAVMESH_ONLY","S22",0.653809,"EXP_C3_REPLAN_S22_A1",2.898509,7.220000,0.480000,0.480001,0.000000,0.490000,-1,1,1,"",0
"20260707_115743","go1",22,"C1_NAVMESH_ONLY","S23",0.652313,"EXP_C3_REPLAN_S23_A1",2.308318,5.829814,0.568336,0.568337,0.000000,0.534168,-1,1,1,"",0
"20260707_115743","go1",23,"C1_NAVMESH_ONLY","S24",0.668732,"EXP_C3_REPLAN_S24_A1",2.412540,6.339392,0.569421,0.569422,0.000000,0.534711,-1,1,1,"",0
