condition,n,metric,mean,std,min,median,max,success_rate
"C2_NO_REPLAN",300,"success_rate_per_trial",0.536667,0.499487,0.000000,1.000000,1.000000,0.536667
"C2_NO_REPLAN",300,"obstacle_run_duration_sec",5.459345,8.294477,0.888794,3.172577,60.039310,0.536667
"C2_NO_REPLAN",300,"obstacle_run_distance_m",8.522111,7.525969,1.260890,6.268789,65.695800,0.536667
"C2_NO_REPLAN",300,"travel_distance_m",8.522111,7.525969,1.260890,6.268789,65.695800,0.536667
"C2_NO_REPLAN",300,"final_goal_error_m",1.588850,1.622730,0.226868,0.297357,6.510010,0.536667
"C2_NO_REPLAN",300,"collision_count",9.960000,17.741690,0.000000,5.000000,122.000000,0.536667
"C2_NO_REPLAN",300,"obstacle_collision_count",2.856667,2.800404,0.000000,2.000000,20.000000,0.536667
"C2_NO_REPLAN",300,"stuck_count",0.016667,0.128233,0.000000,0.000000,1.000000,0.536667
"C2_NO_REPLAN",300,"replan_count",0.000000,0.000000,0.000000,0.000000,0.000000,0.536667
"C2_NO_REPLAN",300,"replan_accumulated_time_sec",0.000000,0.000000,0.000000,0.000000,0.000000,0.536667
