condition,n,metric,mean,std,min,median,max,success_rate
"C3_REPLAN",300,"success_rate_per_trial",0.950000,0.218309,0.000000,1.000000,1.000000,0.950000
"C3_REPLAN",300,"obstacle_run_duration_sec",2.796834,1.404183,1.046265,2.313843,7.586609,0.950000
"C3_REPLAN",300,"obstacle_run_distance_m",7.683913,3.431806,2.556770,6.836296,20.536220,0.950000
"C3_REPLAN",300,"travel_distance_m",7.683913,3.431806,2.556770,6.836296,20.536220,0.950000
"C3_REPLAN",300,"final_goal_error_m",0.408831,0.683860,0.220986,0.274609,5.605282,0.950000
"C3_REPLAN",300,"collision_count",2.226667,1.590720,0.000000,2.000000,9.000000,0.950000
"C3_REPLAN",300,"obstacle_collision_count",1.393333,1.394670,0.000000,1.000000,7.000000,0.950000
"C3_REPLAN",300,"stuck_count",0.006667,0.081513,0.000000,0.000000,1.000000,0.950000
"C3_REPLAN",300,"replan_count",0.000000,0.000000,0.000000,0.000000,0.000000,0.950000
"C3_REPLAN",300,"replan_accumulated_time_sec",0.000000,0.000000,0.000000,0.000000,0.000000,0.950000
"C3_REPLAN",300,"replan_response_delay_sec",0.000000,0.000000,0.000000,0.000000,0.000000,0.950000
